text,service,food,anecdotes/miscellaneous,price,ambience
eating in the atmosphere saves it but at your desk its a very disappointing experience,0,0,1,0,1
granted the space is smaller than most it is the best service you will find in even the largest of restaurants,1,0,0,0,1
have recommended the place to friends always gets good response,0,0,1,0,0
we will return many times for this oasis in midtown,0,0,1,0,0
i love the atmorphere  peep,0,0,0,0,1
enjoy,0,0,1,0,0
we werent,0,0,1,0,0
this is one of my favorite restaurants and it is not to be missed,0,0,1,0,0
la rosa is connected by a swinging door to the mexican restaurant pacifico,0,0,1,0,0
it could have been handled better,0,0,1,0,0
the service was attentive and her suggestions of menu items was right on the mark,1,0,0,0,0
the other night we had the 30 three course meal and everything was delicious  if i could of licked the plate clean i would of,0,1,0,0,0
please be aware that its cash or amex only,0,0,1,0,0
even after getting pushed out by the noclass famous rays sal has risen again to carry on his fathers uncles legacies with a smile true love for his community and lets not forget the outstanding pizza,0,1,0,0,0
its a rather cramped and busy restaurant and it closes early,0,0,0,0,1
the environment is romantic but the food is horrible the service is pathetic and gabriella lies about everything she could,1,1,0,0,1
we had crawfish boiled and despite making a mess it was a ton of fun and quite tasty as well,0,1,0,0,0
i had very high expectations for this place and made a reservation a couple of months in advance for a special occasion,0,0,1,0,0
they were served warm and had a soft fluffy interior,0,1,0,0,0
what came to our table was burned beyond recognition and stringy,0,1,0,0,0
i had the pad thai and the noodles were sticky,0,1,0,0,0
so ive never actually been to m proper but ive had it delivered a few times,0,0,1,0,0
among all of the new 5th avenue restaurants this offers by far one of the best values for your money,0,0,0,1,0
frankly when you compare what you can have here for lunch versus mcds or so many other sandwich shops in the city there is no comparison,0,1,0,0,0
the hostess is rude to the point of being offensive,1,0,0,0,0
if youre craving for harus great food especially the house roll but cant stand the wait building outisde head across the street to their sake bar,1,1,0,0,0
a narrow corridor leads to a tiny space where there are three tiny white tiled counters a great deal of mess stacks of bottles cans and a small counter holding 1214 entrees,0,0,0,0,1
the food is great,0,1,0,0,0
succulent steaks cooked precisely to your desired doneness accompanied by salads and sides that dont look like leafy road kill,0,1,0,0,0
lunch came with pickels and slaw no extra charge,0,0,0,1,0
decent wine at reasonable prices,0,1,0,1,0
all conveniently delivered right to the door,1,0,0,0,0
even the wine by the glass was good,0,1,0,0,0
nice family owned traditional restaurant,0,0,1,0,0
would have rather tried terrace in the sky or water club for that price,0,0,1,1,0
this dish is my favorite and i always get it when i go there and never get tired of it,0,1,0,0,0
i also ordered the change mojito which was out of this world,0,1,0,0,0
okay service,1,0,0,0,0
the only thing more wonderful than the food which is exceptional is the service,1,1,0,0,0
we were very pleasantly surprised,0,0,1,0,0
the food was just awful atrocious actually,0,1,0,0,0
i will never visit this restaurant again,0,0,1,0,0
the soup for the udon was soy sauce and water,0,1,0,0,0
the antipasta was excellent especially the calamari as were the filling pasta mains,0,1,0,0,0
the waitress suggested glasses of wine that went very well with the food,1,1,0,0,0
or sister in my case,0,0,1,0,0
ive eaten at many different indian restaurants,0,0,1,0,0
they might be all business at the counter when you give your order but their food says i love you,1,1,0,0,0
we are very particular about sushi and were both please with every choice which included ceviche mix special crab dumplings assorted sashimi sushi and rolls two types of sake and the banana tempura,0,1,0,0,0
try their plain pizza with fresh garlic or eggplant,0,1,0,0,0
dont go there,0,0,1,0,0
ok so the servers wander around a little clueless but theres more than enough servers for the crowd they get  its fine you just have to make a small effort to get their attention,1,0,0,0,0
good luck getting a table,0,0,1,0,0
we picked it randomly without a recommendation from someone who has been there so we werent sure what to expect,0,0,1,0,0
dont look down your nose at me like that,0,0,1,0,0
planet thai is great,0,0,1,0,0
the service is awful,1,0,0,0,0
just dont do it,0,0,1,0,0
just ignore the trendy wannabes,0,0,1,0,0
the takeout menu says to keep an eye out for an expanded menu offering more italian dishes i cant wait,0,1,0,0,0
trust me it will be great and all of it will be devoured in no time,0,1,0,0,0
my girlfiends and i ate at og again last night,0,0,1,0,0
i wish they had one near my office i would go everyday,0,0,1,0,0
finally,0,0,1,0,0
amma has the worst value for money i have experienced in nyc over the past 2 years,0,0,0,1,0
i am not the most experienced person when it comes to thai food but my friend who took me there is,0,0,1,0,0
i think this would be a pretty good spot if it were not so overpriced and overrated,0,0,0,1,0
regardless of whether there are two people or two hundred people ahead of you the hostess will take your name and tell you five minutes,1,0,0,0,0
the pizza is good though,0,1,0,0,0
bottles of wine are cheap and good,0,1,0,1,0
you will not be disapointed at all,0,0,1,0,0
walkins are risky too,0,0,1,0,0
the have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious if i must recommend a dish it must be the pumkin tortelini,0,1,0,0,0
they didnt give us the dinner special until we asked for it,1,0,0,0,0
you must have the crabmeat lasagna which is out of this world and the chocolate bread pudding for dessert,0,1,0,0,0
word of advice save room for pasta dishes and never leave until youve had the tiramisu,0,1,0,0,0
very good service and very good prices,1,0,0,1,0
i recently went to this restaurant with some coworkers for lunch and had an amazing time,0,0,1,0,0
the service was impeccable and unobtrusive  the staff knows what they are there to do  to know their menu present your meal and attend to your needs,1,0,0,0,0
essabagel either by stytown or midtown is by far the best bagel in ny,0,1,0,0,0
our food was great too,0,1,0,0,0
open late well as late as i ever got there and im a night person,0,0,1,0,0
the most annoying thing though is the fact that the servers seem to be trained to drive revenue,1,0,0,0,0
get your food to go find a bench and kick back with a plate of dumplings,0,0,1,0,0
please try the filet mignon its just the most tender piece ever,0,1,0,0,0
everything we had was pretty good but we have only been there once,0,1,0,0,0
we were still sitting at the bar while we drank the sangria but facing away from the bar when we turned back around the 2 was gone the people next to us said the bartender took it,0,0,1,0,0
something about them being busy with holiday partys,0,0,1,0,0
the sake menu should not be overlooked,0,1,0,0,0
i would highly recommend,0,0,1,0,0
this place is great,0,0,1,0,0
the drinks are amazing and half off till 8pm,0,1,0,1,0
ive been back to nha trang literally a hundred times for the beef cubes  theyre that good,0,1,0,0,0
with so many poor experiences to be had in the theater district is truly an excellent find,0,0,1,0,0
this has got to be one of the most overrated restaurants in brooklyn,0,0,1,0,0
the service wine selection ambiance are all outstanding and deserve recognition,1,1,0,0,1
went there last night for 2 year anniversery and wasnt all that impressed,0,0,1,0,0
it was rather pathetic that it took them over an hour to seat us,1,0,0,0,0
we were seated promptly as we had reservations however after that the service was slow,1,0,0,0,0
at first i was slightly skeptical because it was a sushi restaurant in the middle of nyc,0,0,1,0,0
its really also the service is good and the waiters are friendly,1,0,0,0,0
suan was a recommendation that i am glad we heeded,0,0,1,0,0
the food was pretty good but a little flavorless and the portions very small including dessert,0,1,0,0,0
we visit at least once a month,0,0,1,0,0
it is set far from the small street its on and there is no traffic noise,0,0,0,0,1
also the place is popular with families so if youre bothered by children running loose like wild animals come later at night to avoid them,0,0,0,0,1
ill keep this short,0,0,1,0,0
i felt as though i were eating in paris,0,0,0,0,1
lived in shanghai most of my life and thought the food was comparable to the flagship green bo restaurant there,0,1,1,0,0
i highly recommend cafe st barts for their food the ambience and wonderful service,1,1,0,0,1
however its not worth a special trip,0,0,1,0,0
nice value,0,0,0,1,0
giginos in wagner park is so enjoyable,0,0,1,0,0
and it was quick which is very important,1,0,0,0,0
this is a nice restaurant if you are looking for a good place to host an intimate dinner meeting with business associates,0,0,1,0,0
all the nyu students love this place so it makes for a fun young atmosphere,0,0,0,0,1
the food here does a great service to the name cantonese that is,0,1,0,0,0
but nothing stands out about the cooking,0,1,0,0,0
joya used to be a cool spot with decent food and a colorful  if not relaxed  atmosphere,0,1,0,0,1
if thats a problem go to mcdonalds and destroy your insides,0,0,1,0,0
the prix fixe menu is worth every penny and you get more than enough both in quantity and quality,0,1,0,1,0
ive been here 3 times for lunch and it is one of my favorites in the city,0,0,1,0,0
i had their eggs benedict for brunch which were the worst in my entire life i tried removing the hollondaise sauce completely that was how failed it was,0,1,0,0,0
i work nearby and they have the best oatmeal in the neighborhood not a packaged or quickcooked item,0,1,0,0,0
always busy but fast moving,0,0,0,0,1
too bad the food wasnt of the same heritage,0,1,0,0,0
the menu looked good except for offering the chilean sea bass but the server does not offer up the specials that were written on the board outside,1,1,0,0,0
sexy,0,0,1,0,0
the food was really good i had the onion soup and it was one of the best ever,0,1,0,0,0
i will have to say this bengali fast food joint is clearly my favorite,0,0,1,0,0
im not picky  but it was actually gross,0,1,0,0,0
overall a solid restaurant and at less than 40pp including wine a solid deal as well,0,0,1,1,0
since it literally is a complete hole in the wall its a bit intimidating at first but you get over that very quickly as soon as the friendly staff welcomes you  dont hesitate to ask for help with what to get,1,0,0,0,1
based on the reviews for dinner this is a place i would reconsider revisiting for that but definitely not for dim sum again,0,1,0,0,0
it costs 2 extra to turn a regular roll into an insideout roll but the roll more than triples in size and thats not just from the rice,0,1,0,1,0
even with johns and joes around the corner this place will make a name for itself,0,0,1,0,0
it melted in my little mouth and the perfect consistencynot too fishy creamy and slightly buttery,0,1,0,0,0
when he finally did he was unable to make a gin and tonic  couldnt find tonic,1,0,0,0,0
my girlfriend convinced me to go in the other night for a quick bite,0,0,1,0,0
the dim sum is ok but doesnt taste that fresh and the little dishes dont look steamy hot as they should also note lack of chinese here,0,1,0,0,0
despite the untasteful previous review,0,0,1,0,0
dont judge this place prima facie you have to try it to believe it a home away from home for the literate heart,0,0,1,0,0
sure everyones got their favorite but to know sal is to know new york,0,0,1,0,0
i think that it is absolutely brilliant and well runned business operation,0,0,1,0,0
also they were 15 each,0,0,0,1,0
the service is ok some of the people didnt get what they asked for,1,0,0,0,0
my friends spoke so much about it for months i finally made the time to come down ear and dine in,0,0,1,0,0
if you want good authentic thai this place is not the place to go,0,1,0,0,0
i recommend getting a reservation even though we saw people seated without one,0,0,1,0,0
the only thing i moderately enjoyed was their grilled chicken special with edamame puree,0,1,0,0,0
this is as good as neighborhood restaurants come,0,0,1,0,0
if you want some roast duck pork or chicken on rice with ginger try them out,0,1,0,0,0
you order from a menu so you leave feeling like you missed the full experience,0,0,1,0,0
one of the more authentic shanghainese restaurants in the us definitely the best in manhattan chinatown,0,0,1,0,0
we will go back every time we are in the city,0,0,1,0,0
we love th pink pony,0,0,1,0,0
so eat fast and order a lot,0,0,1,0,0
staff is very accomodating,1,0,0,0,0
i have to agree with the previous reviewer,0,0,1,0,0
eat club is a roving group of nyc gluttons,0,0,1,0,0
if you were there when it first opened give this restaurant a second chance,0,0,1,0,0
i went to del friscos friday night with my boyfriend for an 800 reservation,0,0,1,0,0
if you like sakagura but you feel its too much youd better try yokocho,0,0,1,0,0
yourself a favor and have dinner here and see if you dont agree with me,0,0,1,0,0
definitely a great spot for a nice occasion or date,0,0,1,0,0
you cant go wrong with this place,0,0,1,0,0
very popular style izakaya sake and small portion of sakefriendly dishes ,0,1,0,0,0
hurleys is like cheers where everyone knows your name and they are actually glad you came,1,0,0,0,0
not pretentious and very economical,0,0,0,1,1
the food was terrific and the service classy attentive without being overbearing,1,1,0,0,0
this is an amazing place to try some roti rolls,0,1,0,0,0
fresh ingredients and everything is made to order,0,1,0,0,0
we have never had any problems with charging the meal or the tip and the food was delivered quickly but we live only a few minutes walk from them,1,0,0,0,0
quick and friendly service,1,0,0,0,0
authentic bistro,0,0,1,0,0
they are tasty but i suggest only eating one with meat because they tend not to mesh that well with the average american digestive system,0,1,0,0,0
somewhat pricey but what the heck,0,0,0,1,0
its true this place is not cheap,0,0,0,1,0
try the hot dogs too theyre snappy and delicious,0,1,0,0,0
delivery is fast too,1,0,0,0,0
being from the south there arent any good delis in my area and while watching foods across america on pbs i found out about katzs deli,0,0,1,0,0
the noise level was unbearable conversation impossible,0,0,0,0,1
personal pans are the perfect size for those hungry nights,0,1,0,0,0
highly recommended is the spicy fried clam rolls and spider rolls,0,1,0,0,0
one of the earlier people commenting on the restaurant did not get the that some experimenting is going on with the menu in a positive way,0,0,1,0,0
its convenient,0,0,1,0,0
thanks blooms for a lovely trip,0,0,1,0,0
the atmosphere is great if your looking for a laid back scene and an inexpensive way to spend a weekend afternoon,0,0,0,1,1
oh right i should probably say something nice,0,0,1,0,0
odd for ave b not just odd the place attracts an eclectic crowd to say the least,0,0,0,0,1
when we stumbled on leon we thought that we had found quite the gem but we were certainly wrong,0,0,1,0,0
instead of wasting your time here support restaurants that care about food,0,0,1,0,0
this is can became on e of the ny italian food fare institutions,0,0,1,0,0
just got back from lunch at tamarind and it was excellent,0,1,0,0,0
head and shoulders above its neighboors on east 6 st taj mahal is also very comparable in food quality to the much overpraised and underdeserving baluchis,0,1,0,0,0
the man that was hosting promised to save a table for our party of 7 then sat a party of 2 at the very table he was saving mean while there were boths open all around,1,0,0,0,0
try the cheesecake,0,1,0,0,0
as we were sitting eating the subpar food the manager proceeded to berate a couple of his employees for putting out the wrong containers for condiments and explained to them how expensive these containers were,1,1,0,0,0
david daytona beach fl,0,0,1,0,0
perhaps,0,0,1,0,0
great indian food and the service is incredible,1,1,0,0,0
go here,0,0,1,0,0
if you are in the area try the bagel shoppe on 74th street which is 3 blocks away on 2nd ave,0,0,1,0,0
rosarios is without a doubt one of the greatest pizzerias in existence,0,0,1,0,0
decor is nice and minimalist food simple yet very well presented and cooked and the wine list matches the food very well,0,1,0,0,1
i had the salmon dish and while it was fine for the price paid i expected it to have some type of flavor,0,1,0,0,0
we ordered a tuna melt  it came with out cheese which just made it a tuna sandwich,0,1,0,0,0
especially liked chicken tikka and the naan and the dals,0,1,0,0,0
the waiters were not attentive except that the bill turned up on the table before we were finished,1,0,0,0,0
the restaurant looks out over beautiful green lawns to the hudson river and the statue of liberty,0,0,0,0,1
my wife and i always enjoy the young not always well trained but nevertheless friendly staff all of whom have a story,1,0,0,0,0
we generally like good restaurants and eat out often but kai was way to expensive for what we got,0,0,0,1,0
what a great place,0,0,1,0,0
the sangria was pretty tasty and good on a hot muggy day,0,1,0,0,0
dont eat here unless youre starving for thai food and you work next door,0,0,1,0,0
this tiny williamsburg spot is always pleasantly surprising,0,0,1,0,0
for the people who want great food plus great service roxy is a place to avoid,1,1,0,0,0
i had the best ravioli ever,0,1,0,0,0
while the menu isnt especially groundbreaking everything ive tried so far has been wellexecuted and tasty,0,1,0,0,0
ive been here a bunch of times now and the service is always outstanding,1,0,0,0,0
the bill is approximately 25 for 2 at lunch without drinks,0,0,0,1,0
quite frankly this is some of the worst sushi i have ever tried,0,1,0,0,0
the food is great service is ok,1,1,0,0,0
the overall price tag was very very expensive something i did expect,0,0,0,1,0
by the time we were done it was past 100am,0,0,1,0,0
spice is great thai food love the inexpensive appetizers,0,1,0,1,0
read all the other review theyll confirm it,0,0,1,0,0
